class,f1_score,precision,recall,support
1,0.913,0.925,0.9,400.0
2,0.902,0.929,0.877,400.0
3,0.978,0.966,0.99,400.0
4,0.904,0.879,0.93,400.0
class,f1_score,precision,recall,support
1,0.919,0.918,0.92,400.0
2,0.901,0.913,0.89,400.0
3,0.981,0.973,0.99,400.0
4,0.925,0.923,0.927,400.0
class,f1_score,precision,recall,support
1,0.897,0.897,0.897,400.0
2,0.884,0.91,0.86,400.0
3,0.974,0.959,0.99,400.0
4,0.922,0.912,0.932,400.0
class,f1_score,precision,recall,support
1,0.903,0.924,0.882,400.0
2,0.895,0.881,0.91,400.0
3,0.985,0.983,0.988,400.0
4,0.917,0.913,0.92,400.0
class,f1_score,precision,recall,support
1,0.885,0.868,0.902,400.0
2,0.876,0.898,0.855,400.0
3,0.974,0.957,0.993,400.0
4,0.893,0.907,0.88,400.0
class,f1_score,precision,recall,support
1,0.895,0.907,0.882,400.0
2,0.856,0.889,0.825,400.0
3,0.966,0.947,0.985,400.0
4,0.891,0.866,0.917,400.0
class,f1_score,precision,recall,support
1,0.925,0.941,0.91,400.0
2,0.904,0.915,0.892,400.0
3,0.989,0.988,0.99,400.0
4,0.915,0.891,0.94,400.0
class,f1_score,precision,recall,support
1,0.914,0.928,0.9,400.0
2,0.906,0.889,0.922,400.0
3,0.989,0.983,0.995,400.0
4,0.909,0.918,0.9,400.0
class,f1_score,precision,recall,support
1,0.902,0.898,0.905,400.0
2,0.897,0.891,0.902,400.0
3,0.98,0.985,0.975,400.0
4,0.915,0.919,0.91,400.0
class,f1_score,precision,recall,support
1,0.919,0.916,0.922,400.0
2,0.895,0.91,0.88,400.0
3,0.969,0.95,0.99,400.0
4,0.941,0.949,0.932,400.0
class,f1_score,precision,recall,support
1,0.898,0.915,0.882,400.0
2,0.865,0.875,0.855,400.0
3,0.973,0.963,0.983,400.0
4,0.891,0.875,0.907,400.0
class,f1_score,precision,recall,support
1,0.916,0.922,0.91,400.0
2,0.905,0.907,0.902,400.0
3,0.985,0.983,0.988,400.0
4,0.912,0.906,0.917,400.0
class,f1_score,precision,recall,support
1,0.923,0.92,0.925,400.0
2,0.898,0.902,0.895,400.0
3,0.976,0.968,0.985,400.0
4,0.932,0.939,0.925,400.0
class,f1_score,precision,recall,support
1,0.92,0.935,0.905,400.0
2,0.893,0.899,0.887,400.0
3,0.967,0.945,0.99,400.0
4,0.921,0.922,0.92,400.0
class,f1_score,precision,recall,support
1,0.922,0.925,0.92,400.0
2,0.882,0.888,0.875,400.0
3,0.973,0.959,0.988,400.0
4,0.93,0.934,0.925,400.0
class,f1_score,precision,recall,support
1,0.925,0.914,0.935,400.0
2,0.906,0.907,0.905,400.0
3,0.979,0.968,0.99,400.0
4,0.922,0.943,0.902,400.0
class,f1_score,precision,recall,support
1,0.91,0.921,0.9,400.0
2,0.902,0.892,0.912,400.0
3,0.984,0.973,0.995,400.0
4,0.92,0.931,0.91,400.0
class,f1_score,precision,recall,support
1,0.899,0.9,0.897,400.0
2,0.885,0.885,0.885,400.0
3,0.974,0.961,0.988,400.0
4,0.922,0.933,0.91,400.0
class,f1_score,precision,recall,support
1,0.917,0.905,0.93,400.0
2,0.91,0.927,0.892,400.0
3,0.98,0.973,0.988,400.0
4,0.925,0.927,0.922,400.0
class,f1_score,precision,recall,support
1,0.919,0.931,0.907,400.0
2,0.897,0.914,0.88,400.0
3,0.973,0.957,0.99,400.0
4,0.92,0.908,0.932,400.0
class,f1_score,precision,recall,support
1,0.928,0.936,0.92,400.0
2,0.906,0.893,0.92,400.0
3,0.974,0.966,0.983,400.0
4,0.929,0.943,0.915,400.0
class,f1_score,precision,recall,support
1,0.895,0.883,0.907,400.0
2,0.891,0.905,0.877,400.0
3,0.977,0.966,0.988,400.0
4,0.912,0.921,0.902,400.0
class,f1_score,precision,recall,support
1,0.919,0.929,0.91,400.0
2,0.905,0.916,0.895,400.0
3,0.974,0.957,0.993,400.0
4,0.908,0.905,0.91,400.0
class,f1_score,precision,recall,support
1,0.901,0.913,0.89,400.0
2,0.884,0.901,0.868,400.0
3,0.979,0.961,0.998,400.0
4,0.896,0.885,0.907,400.0
class,f1_score,precision,recall,support
1,0.903,0.92,0.887,400.0
2,0.882,0.905,0.86,400.0
3,0.979,0.968,0.99,400.0
4,0.895,0.868,0.922,400.0
class,f1_score,precision,recall,support
1,0.922,0.927,0.917,400.0
2,0.916,0.93,0.902,400.0
3,0.97,0.956,0.985,400.0
4,0.915,0.911,0.92,400.0
class,f1_score,precision,recall,support
1,0.917,0.917,0.917,400.0
2,0.915,0.93,0.9,400.0
3,0.979,0.966,0.993,400.0
4,0.915,0.913,0.917,400.0
class,f1_score,precision,recall,support
1,0.919,0.926,0.912,400.0
2,0.898,0.908,0.887,400.0
3,0.978,0.966,0.99,400.0
4,0.914,0.909,0.92,400.0
class,f1_score,precision,recall,support
1,0.917,0.926,0.907,400.0
2,0.906,0.924,0.887,400.0
3,0.98,0.971,0.99,400.0
4,0.914,0.897,0.932,400.0
class,f1_score,precision,recall,support
1,0.892,0.898,0.885,400.0
2,0.884,0.895,0.873,400.0
3,0.979,0.968,0.99,400.0
4,0.907,0.899,0.915,400.0
class,f1_score,precision,recall,support
1,0.915,0.905,0.925,400.0
2,0.915,0.93,0.9,400.0
3,0.988,0.988,0.988,400.0
4,0.923,0.918,0.927,400.0
class,f1_score,precision,recall,support
1,0.922,0.914,0.93,400.0
2,0.896,0.921,0.873,400.0
3,0.973,0.95,0.998,400.0
4,0.927,0.934,0.92,400.0
class,f1_score,precision,recall,support
1,0.882,0.897,0.868,400.0
2,0.891,0.894,0.887,400.0
3,0.979,0.968,0.99,400.0
4,0.897,0.889,0.905,400.0
class,f1_score,precision,recall,support
1,0.924,0.938,0.91,400.0
2,0.908,0.929,0.887,400.0
3,0.973,0.954,0.993,400.0
4,0.931,0.915,0.948,400.0
class,f1_score,precision,recall,support
1,0.915,0.93,0.9,400.0
2,0.921,0.929,0.912,400.0
3,0.978,0.964,0.993,400.0
4,0.916,0.907,0.925,400.0
class,f1_score,precision,recall,support
1,0.902,0.902,0.902,400.0
2,0.874,0.889,0.86,400.0
3,0.972,0.954,0.99,400.0
4,0.905,0.907,0.902,400.0
class,f1_score,precision,recall,support
1,0.907,0.912,0.902,400.0
2,0.902,0.919,0.885,400.0
3,0.983,0.971,0.995,400.0
4,0.927,0.917,0.938,400.0
class,f1_score,precision,recall,support
1,0.903,0.909,0.897,400.0
2,0.876,0.894,0.86,400.0
3,0.975,0.959,0.993,400.0
4,0.918,0.911,0.925,400.0
class,f1_score,precision,recall,support
1,0.911,0.916,0.905,400.0
2,0.906,0.909,0.902,400.0
3,0.981,0.98,0.983,400.0
4,0.91,0.902,0.917,400.0
class,f1_score,precision,recall,support
1,0.873,0.878,0.868,400.0
2,0.89,0.898,0.882,400.0
3,0.985,0.98,0.99,400.0
4,0.896,0.887,0.905,400.0
class,f1_score,precision,recall,support
1,0.904,0.903,0.905,400.0
2,0.886,0.906,0.868,400.0
3,0.971,0.954,0.988,400.0
4,0.915,0.913,0.917,400.0
class,f1_score,precision,recall,support
1,0.898,0.926,0.873,400.0
2,0.901,0.888,0.915,400.0
3,0.989,0.988,0.99,400.0
4,0.916,0.905,0.927,400.0
class,f1_score,precision,recall,support
1,0.904,0.915,0.892,400.0
2,0.896,0.891,0.9,400.0
3,0.981,0.973,0.99,400.0
4,0.921,0.922,0.92,400.0
class,f1_score,precision,recall,support
1,0.901,0.902,0.9,400.0
2,0.892,0.896,0.887,400.0
3,0.973,0.952,0.995,400.0
4,0.905,0.92,0.89,400.0
class,f1_score,precision,recall,support
1,0.897,0.902,0.892,400.0
2,0.9,0.908,0.892,400.0
3,0.978,0.97,0.985,400.0
4,0.924,0.919,0.93,400.0
class,f1_score,precision,recall,support
1,0.873,0.877,0.87,400.0
2,0.849,0.884,0.818,400.0
3,0.969,0.952,0.988,400.0
4,0.892,0.873,0.912,400.0
class,f1_score,precision,recall,support
1,0.915,0.917,0.912,400.0
2,0.91,0.914,0.905,400.0
3,0.977,0.961,0.993,400.0
4,0.926,0.934,0.917,400.0
class,f1_score,precision,recall,support
1,0.917,0.933,0.902,400.0
2,0.889,0.888,0.89,400.0
3,0.971,0.95,0.993,400.0
4,0.914,0.921,0.907,400.0
class,f1_score,precision,recall,support
1,0.898,0.892,0.905,400.0
2,0.885,0.883,0.887,400.0
3,0.978,0.973,0.983,400.0
4,0.914,0.928,0.9,400.0
class,f1_score,precision,recall,support
1,0.896,0.897,0.895,400.0
2,0.897,0.893,0.9,400.0
3,0.981,0.973,0.99,400.0
4,0.908,0.918,0.897,400.0
class,f1_score,precision,recall,support
1,0.922,0.922,0.922,400.0
2,0.895,0.903,0.887,400.0
3,0.981,0.971,0.993,400.0
4,0.927,0.93,0.925,400.0
class,f1_score,precision,recall,support
1,0.905,0.916,0.895,400.0
2,0.869,0.886,0.853,400.0
3,0.975,0.961,0.99,400.0
4,0.897,0.883,0.91,400.0
class,f1_score,precision,recall,support
1,0.907,0.927,0.887,400.0
2,0.9,0.896,0.905,400.0
3,0.973,0.952,0.995,400.0
4,0.926,0.932,0.92,400.0
class,f1_score,precision,recall,support
1,0.917,0.917,0.917,400.0
2,0.894,0.923,0.868,400.0
3,0.983,0.968,0.998,400.0
4,0.916,0.903,0.93,400.0
class,f1_score,precision,recall,support
1,0.893,0.907,0.88,400.0
2,0.863,0.863,0.863,400.0
3,0.969,0.952,0.988,400.0
4,0.903,0.907,0.9,400.0
class,f1_score,precision,recall,support
1,0.91,0.908,0.912,400.0
2,0.902,0.902,0.902,400.0
3,0.974,0.97,0.978,400.0
4,0.926,0.932,0.92,400.0
class,f1_score,precision,recall,support
1,0.926,0.932,0.92,400.0
2,0.882,0.893,0.873,400.0
3,0.968,0.943,0.995,400.0
4,0.917,0.926,0.907,400.0
class,f1_score,precision,recall,support
1,0.895,0.907,0.882,400.0
2,0.889,0.865,0.915,400.0
3,0.98,0.985,0.975,400.0
4,0.912,0.921,0.902,400.0
class,f1_score,precision,recall,support
1,0.911,0.944,0.88,400.0
2,0.877,0.872,0.882,400.0
3,0.978,0.968,0.988,400.0
4,0.889,0.874,0.905,400.0
class,f1_score,precision,recall,support
1,0.907,0.927,0.887,400.0
2,0.888,0.886,0.89,400.0
3,0.972,0.961,0.983,400.0
4,0.931,0.924,0.938,400.0
class,f1_score,precision,recall,support
1,0.909,0.918,0.9,400.0
2,0.89,0.902,0.877,400.0
3,0.971,0.952,0.99,400.0
4,0.922,0.918,0.925,400.0
class,f1_score,precision,recall,support
1,0.908,0.914,0.902,400.0
2,0.876,0.889,0.863,400.0
3,0.966,0.943,0.99,400.0
4,0.923,0.927,0.92,400.0
class,f1_score,precision,recall,support
1,0.921,0.929,0.912,400.0
2,0.89,0.9,0.88,400.0
3,0.978,0.964,0.993,400.0
4,0.91,0.906,0.915,400.0
class,f1_score,precision,recall,support
1,0.913,0.919,0.907,400.0
2,0.876,0.913,0.843,400.0
3,0.964,0.932,0.998,400.0
4,0.908,0.9,0.917,400.0
class,f1_score,precision,recall,support
1,0.91,0.914,0.905,400.0
2,0.897,0.891,0.902,400.0
3,0.977,0.964,0.99,400.0
4,0.911,0.925,0.897,400.0
class,f1_score,precision,recall,support
1,0.921,0.924,0.917,400.0
2,0.904,0.911,0.897,400.0
3,0.99,0.988,0.993,400.0
4,0.927,0.919,0.935,400.0
class,f1_score,precision,recall,support
1,0.914,0.897,0.932,400.0
2,0.898,0.904,0.892,400.0
3,0.98,0.973,0.988,400.0
4,0.907,0.927,0.887,400.0
class,f1_score,precision,recall,support
1,0.911,0.923,0.9,400.0
2,0.902,0.896,0.907,400.0
3,0.984,0.98,0.988,400.0
4,0.908,0.905,0.91,400.0
class,f1_score,precision,recall,support
1,0.899,0.896,0.902,400.0
2,0.901,0.89,0.912,400.0
3,0.984,0.983,0.985,400.0
4,0.926,0.943,0.91,400.0
class,f1_score,precision,recall,support
1,0.913,0.921,0.905,400.0
2,0.887,0.908,0.868,400.0
3,0.975,0.959,0.993,400.0
4,0.922,0.91,0.935,400.0
class,f1_score,precision,recall,support
1,0.919,0.926,0.912,400.0
2,0.893,0.909,0.877,400.0
3,0.967,0.949,0.985,400.0
4,0.914,0.909,0.92,400.0
class,f1_score,precision,recall,support
1,0.905,0.907,0.902,400.0
2,0.894,0.893,0.895,400.0
3,0.98,0.975,0.985,400.0
4,0.918,0.922,0.915,400.0
class,f1_score,precision,recall,support
1,0.91,0.921,0.9,400.0
2,0.897,0.914,0.88,400.0
3,0.974,0.961,0.988,400.0
4,0.918,0.903,0.932,400.0
class,f1_score,precision,recall,support
1,0.891,0.911,0.873,400.0
