class,f1_score,precision,recall,support
1,0.906,0.924,0.887,400.0
2,0.877,0.87,0.885,400.0
3,0.971,0.968,0.975,400.0
4,0.918,0.911,0.925,400.0
class,f1_score,precision,recall,support
1,0.902,0.931,0.875,400.0
2,0.873,0.885,0.863,400.0
3,0.978,0.97,0.985,400.0
4,0.889,0.86,0.92,400.0
class,f1_score,precision,recall,support
1,0.908,0.914,0.902,400.0
2,0.872,0.893,0.853,400.0
3,0.974,0.957,0.993,400.0
4,0.916,0.907,0.925,400.0
class,f1_score,precision,recall,support
1,0.916,0.907,0.925,400.0
2,0.9,0.913,0.887,400.0
3,0.981,0.971,0.993,400.0
4,0.904,0.911,0.897,400.0
class,f1_score,precision,recall,support
1,0.901,0.902,0.9,400.0
2,0.899,0.917,0.882,400.0
3,0.978,0.966,0.99,400.0
4,0.906,0.899,0.912,400.0
class,f1_score,precision,recall,support
1,0.887,0.898,0.877,400.0
2,0.881,0.892,0.87,400.0
3,0.973,0.97,0.975,400.0
4,0.901,0.882,0.92,400.0
class,f1_score,precision,recall,support
1,0.908,0.925,0.892,400.0
2,0.896,0.897,0.895,400.0
3,0.983,0.971,0.995,400.0
4,0.919,0.914,0.925,400.0
class,f1_score,precision,recall,support
1,0.9,0.902,0.897,400.0
2,0.894,0.889,0.9,400.0
3,0.989,0.988,0.99,400.0
4,0.925,0.929,0.92,400.0
class,f1_score,precision,recall,support
1,0.909,0.923,0.895,400.0
2,0.884,0.895,0.873,400.0
3,0.977,0.961,0.993,400.0
4,0.91,0.9,0.92,400.0
class,f1_score,precision,recall,support
1,0.922,0.918,0.925,400.0
2,0.899,0.91,0.887,400.0
3,0.978,0.968,0.988,400.0
4,0.926,0.927,0.925,400.0
class,f1_score,precision,recall,support
1,0.906,0.897,0.915,400.0
2,0.9,0.9,0.9,400.0
3,0.984,0.983,0.985,400.0
4,0.905,0.916,0.895,400.0
class,f1_score,precision,recall,support
1,0.923,0.927,0.92,400.0
2,0.905,0.907,0.902,400.0
3,0.975,0.966,0.985,400.0
4,0.911,0.914,0.907,400.0
class,f1_score,precision,recall,support
1,0.897,0.921,0.875,400.0
2,0.878,0.874,0.882,400.0
3,0.965,0.936,0.995,400.0
4,0.915,0.926,0.905,400.0
class,f1_score,precision,recall,support
1,0.919,0.933,0.905,400.0
2,0.921,0.927,0.915,400.0
3,0.979,0.968,0.99,400.0
4,0.926,0.917,0.935,400.0
class,f1_score,precision,recall,support
1,0.929,0.928,0.93,400.0
2,0.888,0.896,0.88,400.0
3,0.974,0.97,0.978,400.0
4,0.914,0.911,0.917,400.0
class,f1_score,precision,recall,support
1,0.904,0.913,0.895,400.0
2,0.881,0.894,0.868,400.0
3,0.973,0.959,0.988,400.0
4,0.903,0.895,0.912,400.0
class,f1_score,precision,recall,support
1,0.903,0.92,0.887,400.0
2,0.891,0.892,0.89,400.0
3,0.978,0.973,0.983,400.0
4,0.903,0.891,0.915,400.0
class,f1_score,precision,recall,support
1,0.896,0.899,0.892,400.0
2,0.882,0.882,0.882,400.0
3,0.97,0.968,0.973,400.0
4,0.911,0.91,0.912,400.0
class,f1_score,precision,recall,support
1,0.89,0.909,0.873,400.0
2,0.891,0.901,0.882,400.0
3,0.976,0.977,0.975,400.0
4,0.899,0.873,0.927,400.0
class,f1_score,precision,recall,support
1,0.869,0.884,0.855,400.0
2,0.849,0.855,0.843,400.0
3,0.978,0.964,0.993,400.0
4,0.88,0.872,0.887,400.0
