class,f1_score,precision,recall,support
1,0.341,0.755,0.22,3490.0
2,0.443,0.359,0.578,4000.0
3,0.554,0.59,0.523,4000.0
4,0.626,0.591,0.664,4000.0
class,f1_score,precision,recall,support
1,0.364,0.777,0.238,3490.0
2,0.443,0.361,0.574,4000.0
3,0.551,0.573,0.53,4000.0
4,0.639,0.614,0.667,4000.0
class,f1_score,precision,recall,support
1,0.382,0.763,0.255,3490.0
2,0.444,0.369,0.557,4000.0
3,0.569,0.586,0.553,4000.0
4,0.627,0.592,0.667,4000.0
class,f1_score,precision,recall,support
1,0.388,0.742,0.263,3490.0
2,0.433,0.361,0.541,4000.0
3,0.548,0.562,0.535,4000.0
4,0.631,0.599,0.666,4000.0
class,f1_score,precision,recall,support
1,0.387,0.755,0.26,3490.0
2,0.451,0.372,0.571,4000.0
3,0.572,0.599,0.548,4000.0
4,0.64,0.606,0.679,4000.0
class,f1_score,precision,recall,support
1,0.367,0.763,0.242,3490.0
2,0.443,0.366,0.56,4000.0
3,0.57,0.586,0.553,4000.0
4,0.637,0.603,0.675,4000.0
class,f1_score,precision,recall,support
1,0.338,0.75,0.218,3490.0
2,0.432,0.355,0.553,4000.0
3,0.56,0.591,0.533,4000.0
4,0.615,0.574,0.663,4000.0
class,f1_score,precision,recall,support
1,0.378,0.786,0.248,3490.0
2,0.455,0.368,0.596,4000.0
3,0.57,0.593,0.548,4000.0
4,0.636,0.62,0.653,4000.0
class,f1_score,precision,recall,support
1,0.35,0.758,0.228,3490.0
2,0.447,0.371,0.562,4000.0
3,0.557,0.595,0.524,4000.0
4,0.623,0.567,0.69,4000.0
class,f1_score,precision,recall,support
1,0.349,0.779,0.225,3490.0
2,0.446,0.367,0.569,4000.0
3,0.575,0.603,0.55,4000.0
4,0.642,0.599,0.693,4000.0
