class,f1_score,precision,recall,support
1,0.861,0.86,0.863,400.0
2,0.831,0.853,0.81,400.0
3,0.967,0.949,0.985,400.0
4,0.888,0.884,0.892,400.0
class,f1_score,precision,recall,support
1,0.824,0.839,0.81,400.0
2,0.816,0.805,0.828,400.0
3,0.969,0.961,0.978,400.0
4,0.864,0.869,0.86,400.0
class,f1_score,precision,recall,support
1,0.885,0.885,0.885,400.0
2,0.868,0.866,0.87,400.0
3,0.974,0.97,0.978,400.0
4,0.888,0.894,0.882,400.0
class,f1_score,precision,recall,support
1,0.855,0.877,0.835,400.0
2,0.849,0.867,0.833,400.0
3,0.964,0.938,0.99,400.0
4,0.863,0.85,0.877,400.0
class,f1_score,precision,recall,support
1,0.852,0.87,0.835,400.0
2,0.844,0.836,0.853,400.0
3,0.979,0.973,0.985,400.0
4,0.877,0.873,0.88,400.0
class,f1_score,precision,recall,support
1,0.851,0.862,0.84,400.0
2,0.812,0.842,0.785,400.0
3,0.96,0.94,0.98,400.0
4,0.859,0.838,0.88,400.0
class,f1_score,precision,recall,support
1,0.831,0.845,0.818,400.0
2,0.821,0.82,0.823,400.0
3,0.955,0.933,0.978,400.0
4,0.873,0.88,0.865,400.0
class,f1_score,precision,recall,support
1,0.873,0.88,0.865,400.0
2,0.871,0.882,0.86,400.0
3,0.98,0.971,0.99,400.0
4,0.868,0.858,0.877,400.0
class,f1_score,precision,recall,support
1,0.868,0.855,0.882,400.0
2,0.857,0.883,0.833,400.0
3,0.974,0.968,0.98,400.0
4,0.875,0.869,0.88,400.0
class,f1_score,precision,recall,support
1,0.826,0.847,0.805,400.0
2,0.842,0.837,0.848,400.0
3,0.97,0.965,0.975,400.0
4,0.871,0.859,0.882,400.0
class,f1_score,precision,recall,support
1,0.863,0.866,0.86,400.0
2,0.838,0.841,0.835,400.0
3,0.972,0.956,0.988,400.0
4,0.878,0.885,0.87,400.0
class,f1_score,precision,recall,support
1,0.844,0.856,0.833,400.0
2,0.828,0.821,0.835,400.0
3,0.965,0.97,0.96,400.0
4,0.876,0.868,0.885,400.0
class,f1_score,precision,recall,support
1,0.838,0.855,0.823,400.0
2,0.822,0.824,0.82,400.0
3,0.964,0.938,0.99,400.0
4,0.873,0.878,0.868,400.0
class,f1_score,precision,recall,support
1,0.838,0.856,0.82,400.0
2,0.818,0.818,0.818,400.0
3,0.963,0.947,0.98,400.0
4,0.857,0.854,0.86,400.0
class,f1_score,precision,recall,support
1,0.86,0.847,0.873,400.0
2,0.845,0.866,0.825,400.0
3,0.966,0.949,0.983,400.0
4,0.868,0.875,0.86,400.0
class,f1_score,precision,recall,support
1,0.837,0.834,0.84,400.0
2,0.806,0.805,0.807,400.0
3,0.964,0.947,0.983,400.0
4,0.868,0.89,0.848,400.0
class,f1_score,precision,recall,support
1,0.837,0.839,0.835,400.0
2,0.834,0.835,0.833,400.0
3,0.971,0.97,0.973,400.0
4,0.855,0.853,0.858,400.0
class,f1_score,precision,recall,support
1,0.856,0.863,0.85,400.0
2,0.823,0.832,0.815,400.0
3,0.96,0.94,0.98,400.0
4,0.876,0.879,0.873,400.0
class,f1_score,precision,recall,support
1,0.856,0.873,0.84,400.0
2,0.842,0.846,0.838,400.0
3,0.965,0.96,0.97,400.0
4,0.869,0.853,0.885,400.0
class,f1_score,precision,recall,support
1,0.853,0.866,0.84,400.0
2,0.84,0.838,0.843,400.0
3,0.977,0.966,0.988,400.0
4,0.866,0.865,0.868,400.0
class,f1_score,precision,recall,support
1,0.856,0.875,0.838,400.0
2,0.852,0.854,0.85,400.0
3,0.979,0.973,0.985,400.0
4,0.875,0.86,0.89,400.0
class,f1_score,precision,recall,support
1,0.863,0.866,0.86,400.0
2,0.837,0.841,0.833,400.0
3,0.965,0.958,0.973,400.0
4,0.904,0.903,0.905,400.0
class,f1_score,precision,recall,support
1,0.841,0.849,0.833,400.0
2,0.836,0.856,0.818,400.0
3,0.971,0.954,0.988,400.0
4,0.855,0.842,0.868,400.0
class,f1_score,precision,recall,support
1,0.85,0.858,0.843,400.0
2,0.826,0.84,0.812,400.0
3,0.965,0.943,0.988,400.0
4,0.869,0.868,0.87,400.0
class,f1_score,precision,recall,support
1,0.854,0.874,0.835,400.0
2,0.838,0.869,0.81,400.0
3,0.959,0.936,0.983,400.0
4,0.861,0.835,0.887,400.0
class,f1_score,precision,recall,support
1,0.855,0.849,0.86,400.0
2,0.809,0.841,0.78,400.0
3,0.966,0.941,0.993,400.0
4,0.868,0.866,0.87,400.0
class,f1_score,precision,recall,support
1,0.843,0.852,0.835,400.0
2,0.828,0.837,0.82,400.0
3,0.967,0.954,0.98,400.0
4,0.88,0.874,0.885,400.0
class,f1_score,precision,recall,support
1,0.857,0.839,0.875,400.0
2,0.816,0.872,0.767,400.0
3,0.957,0.931,0.985,400.0
4,0.864,0.855,0.873,400.0
class,f1_score,precision,recall,support
1,0.856,0.863,0.85,400.0
2,0.867,0.887,0.848,400.0
3,0.972,0.961,0.983,400.0
4,0.864,0.848,0.88,400.0
class,f1_score,precision,recall,support
1,0.849,0.854,0.845,400.0
2,0.831,0.838,0.825,400.0
3,0.969,0.958,0.98,400.0
4,0.861,0.86,0.863,400.0
