class,f1_score,precision,recall,support
1,0.85,0.837,0.863,400.0
2,0.808,0.822,0.795,400.0
3,0.954,0.944,0.965,400.0
4,0.869,0.878,0.86,400.0
class,f1_score,precision,recall,support
1,0.822,0.844,0.8,400.0
2,0.824,0.828,0.82,400.0
3,0.973,0.963,0.983,400.0
4,0.849,0.832,0.868,400.0
class,f1_score,precision,recall,support
1,0.836,0.832,0.84,400.0
2,0.816,0.815,0.818,400.0
3,0.967,0.954,0.98,400.0
4,0.847,0.865,0.83,400.0
class,f1_score,precision,recall,support
1,0.867,0.864,0.87,400.0
2,0.841,0.823,0.86,400.0
3,0.967,0.975,0.96,400.0
4,0.876,0.894,0.86,400.0
class,f1_score,precision,recall,support
1,0.843,0.839,0.848,400.0
2,0.817,0.837,0.797,400.0
3,0.964,0.956,0.973,400.0
4,0.869,0.86,0.877,400.0
class,f1_score,precision,recall,support
1,0.813,0.84,0.787,400.0
2,0.811,0.81,0.812,400.0
3,0.956,0.953,0.96,400.0
4,0.857,0.836,0.88,400.0
class,f1_score,precision,recall,support
1,0.836,0.832,0.84,400.0
2,0.812,0.836,0.79,400.0
3,0.967,0.952,0.983,400.0
4,0.862,0.857,0.868,400.0
class,f1_score,precision,recall,support
1,0.838,0.83,0.845,400.0
2,0.841,0.861,0.823,400.0
3,0.974,0.977,0.97,400.0
4,0.865,0.85,0.88,400.0
class,f1_score,precision,recall,support
1,0.839,0.833,0.845,400.0
2,0.793,0.834,0.755,400.0
3,0.958,0.938,0.98,400.0
4,0.843,0.829,0.858,400.0
class,f1_score,precision,recall,support
1,0.856,0.875,0.838,400.0
2,0.838,0.829,0.848,400.0
3,0.97,0.97,0.97,400.0
4,0.874,0.865,0.882,400.0
class,f1_score,precision,recall,support
1,0.821,0.829,0.812,400.0
2,0.817,0.799,0.835,400.0
3,0.969,0.958,0.98,400.0
4,0.848,0.869,0.828,400.0
class,f1_score,precision,recall,support
1,0.856,0.855,0.858,400.0
2,0.822,0.826,0.818,400.0
3,0.963,0.947,0.98,400.0
4,0.852,0.864,0.84,400.0
class,f1_score,precision,recall,support
1,0.848,0.869,0.828,400.0
2,0.836,0.844,0.828,400.0
3,0.97,0.965,0.975,400.0
4,0.865,0.842,0.89,400.0
class,f1_score,precision,recall,support
1,0.827,0.842,0.812,400.0
2,0.83,0.832,0.828,400.0
3,0.968,0.968,0.968,400.0
4,0.868,0.851,0.885,400.0
class,f1_score,precision,recall,support
1,0.843,0.841,0.845,400.0
2,0.824,0.816,0.833,400.0
3,0.968,0.956,0.98,400.0
4,0.854,0.876,0.833,400.0
class,f1_score,precision,recall,support
1,0.847,0.851,0.843,400.0
2,0.834,0.876,0.795,400.0
3,0.963,0.943,0.985,400.0
4,0.868,0.844,0.892,400.0
class,f1_score,precision,recall,support
1,0.828,0.85,0.807,400.0
2,0.816,0.847,0.787,400.0
3,0.962,0.945,0.98,400.0
4,0.852,0.82,0.887,400.0
class,f1_score,precision,recall,support
1,0.858,0.863,0.853,400.0
2,0.83,0.823,0.838,400.0
3,0.967,0.958,0.975,400.0
4,0.862,0.872,0.853,400.0
class,f1_score,precision,recall,support
1,0.84,0.816,0.865,400.0
2,0.81,0.833,0.787,400.0
3,0.967,0.958,0.975,400.0
4,0.86,0.87,0.85,400.0
class,f1_score,precision,recall,support
1,0.843,0.843,0.843,400.0
2,0.813,0.818,0.807,400.0
3,0.966,0.951,0.98,400.0
4,0.865,0.873,0.858,400.0
class,f1_score,precision,recall,support
1,0.857,0.861,0.853,400.0
2,0.84,0.853,0.828,400.0
3,0.973,0.968,0.978,400.0
4,0.874,0.862,0.887,400.0
class,f1_score,precision,recall,support
1,0.859,0.864,0.855,400.0
2,0.832,0.853,0.812,400.0
3,0.967,0.954,0.98,400.0
4,0.862,0.85,0.875,400.0
class,f1_score,precision,recall,support
1,0.852,0.854,0.85,400.0
2,0.826,0.84,0.812,400.0
3,0.969,0.961,0.978,400.0
4,0.864,0.855,0.873,400.0
class,f1_score,precision,recall,support
1,0.859,0.85,0.868,400.0
2,0.845,0.864,0.828,400.0
3,0.968,0.954,0.983,400.0
4,0.866,0.869,0.863,400.0
class,f1_score,precision,recall,support
1,0.843,0.843,0.843,400.0
2,0.829,0.854,0.805,400.0
3,0.975,0.959,0.993,400.0
4,0.845,0.836,0.855,400.0
class,f1_score,precision,recall,support
1,0.833,0.836,0.83,400.0
2,0.821,0.827,0.815,400.0
3,0.968,0.963,0.973,400.0
4,0.852,0.847,0.858,400.0
class,f1_score,precision,recall,support
1,0.844,0.858,0.83,400.0
2,0.822,0.856,0.79,400.0
3,0.966,0.943,0.99,400.0
4,0.874,0.849,0.9,400.0
class,f1_score,precision,recall,support
1,0.847,0.851,0.843,400.0
2,0.825,0.849,0.802,400.0
3,0.965,0.943,0.988,400.0
4,0.887,0.88,0.895,400.0
class,f1_score,precision,recall,support
1,0.835,0.87,0.802,400.0
2,0.819,0.818,0.82,400.0
3,0.969,0.968,0.97,400.0
4,0.854,0.825,0.885,400.0
class,f1_score,precision,recall,support
1,0.836,0.85,0.823,400.0
2,0.825,0.82,0.83,400.0
3,0.967,0.956,0.978,400.0
4,0.861,0.862,0.86,400.0
