class,f1_score,precision,recall,support
1,0.854,0.847,0.86,400.0
2,0.806,0.823,0.79,400.0
3,0.959,0.946,0.973,400.0
4,0.876,0.877,0.875,400.0
class,f1_score,precision,recall,support
1,0.839,0.882,0.8,400.0
2,0.811,0.81,0.812,400.0
3,0.97,0.965,0.975,400.0
4,0.834,0.803,0.868,400.0
class,f1_score,precision,recall,support
1,0.851,0.862,0.84,400.0
2,0.831,0.838,0.825,400.0
3,0.971,0.965,0.978,400.0
4,0.858,0.847,0.87,400.0
class,f1_score,precision,recall,support
1,0.855,0.853,0.858,400.0
2,0.827,0.819,0.835,400.0
3,0.97,0.97,0.97,400.0
4,0.863,0.874,0.853,400.0
class,f1_score,precision,recall,support
1,0.835,0.854,0.818,400.0
2,0.808,0.841,0.777,400.0
3,0.963,0.947,0.98,400.0
4,0.869,0.836,0.905,400.0
class,f1_score,precision,recall,support
1,0.83,0.854,0.807,400.0
2,0.818,0.796,0.84,400.0
3,0.955,0.96,0.95,400.0
4,0.861,0.856,0.865,400.0
class,f1_score,precision,recall,support
1,0.828,0.833,0.823,400.0
2,0.813,0.818,0.807,400.0
3,0.963,0.949,0.978,400.0
4,0.852,0.854,0.85,400.0
class,f1_score,precision,recall,support
1,0.847,0.851,0.843,400.0
2,0.847,0.851,0.843,400.0
3,0.972,0.959,0.985,400.0
4,0.871,0.874,0.868,400.0
class,f1_score,precision,recall,support
1,0.857,0.877,0.838,400.0
2,0.817,0.837,0.797,400.0
3,0.961,0.944,0.978,400.0
4,0.863,0.839,0.887,400.0
